"id","context","question","answer"
"0","Indonesia","What are some of the attractions that make Indonesia appealing to tourists?","Indonesia is attractive to tourists because of its rich cultural diversity, with more than 900 tribes and languages, a variety of cuisines, enchanting natural landscapes (especially outside of Java), and the friendliness of the people."
"1","Indonesia","What geographical features make Indonesia unique?","Indonesia is a vast archipelago consisting of diverse islands scattered over both sides of the Equator between the Indian Ocean and the Pacific Ocean. It is known for its extensive (but rapidly diminishing) rainforests on its 18,000 islands and is nicknamed The Emerald of the Equator."
"2","Indonesia","How far is the distance between Aceh in the west and Papua in the east?","The distance between Aceh and Papua is 4,702 km (2,500 mi), which is comparable to the distance between New York City and San Francisco."
"3","Indonesia","Why do travelers often think of Bali as their primary destination in Indonesia?","Travelers tend to have Bali at the top of their mind as their reason to visit due to its popularity, but it is a shame because there are even more breathtaking natural beauty and cultural experiences elsewhere in the country."
"4","Indonesia","What is Borobudur, and where is it located?","Borobudur is one of the largest Buddhist temples in the world, located in Central Java province. It is often visited alongside the impressive Hindu ruins at nearby Prambanan."
"5","Indonesia","What is Bromo-Tengger-Semeru National Park known for?","Bromo-Tengger-Semeru National Park is known for some of the most dramatic volcanic scenery on the planet and is one of the best locations in the world to witness sunrise."
"6","Indonesia","Where is one of the best scuba diving destinations in Indonesia, if not the world?","Bunaken is one of the best scuba diving destinations in Indonesia and is highly regarded globally."
"7","Indonesia","What is Tana Toraja famous for?","Tana Toraja, a highland area in Southern Sulawesi, is famous for its extraordinary funeral rites."
"8","Brunei","What contributes to Brunei's wealth?","Brunei's wealth comes from its natural gas and petroleum resources."
"9","Brunei","What is the full name of Brunei, and what does ""Darussalam"" mean?","The full name of Brunei is Negara Brunei Darussalam, with ""Darussalam"" meaning ""Abode of Peace."
"10","Brunei","What is the Istana Nurul Iman, and why is it significant?","The Istana Nurul Iman is the world's largest occupied residential palace. It covers 300 acres and sits on a man-made hill with a clear view of Kampong Ayer. The palace is the residence of Sultan Hassanal Bolkiah and is estimated to be valued at USD 600 million."
"11","Brunei","What is the national holiday of Brunei, and why is it celebrated on 23 February?","Brunei's national holiday is National Day, celebrated on 23 February. This date marks the country's independence from British protection in 1984. Although Brunei achieved political independence from the UK on 1 January 1984, 23 February is traditionally celebrated as the day of independence."
"12","Brunei","What is ambuyat, and what makes it unique to Borneo?","Ambuyat is a culinary specialty unique to Borneo. It is a starchy, gooey paste made from sago that is typically dipped into a savory sauce."
"13","Brunei","What is the story behind the name ""Nasi Katok""?","The name ""Nasi Katok"" comes from a story about a couple of teenagers who were hungry after a midnight practice. They visited a place that was actually a residential house, which sold Nasi bungkus (a pack of rice with chicken and egg) at any time. They would ""katok"" (knock) on the door, and the owner would serve fresh, hot Nasi Katok. This practice is how the dish got its name."
"14","Brunei","How does Brunei's status as a Muslim country affect its food culture?","Almost all food sold in Brunei is halal, adhering to Islamic dietary laws. The only exceptions are food stalls and restaurants catering to the ethnic Chinese community, which are permitted to sell pork with special permission from the government. Halal certification is managed by the Ministry of Religious Affairs (MoRA)."
