id,context,question,answer,inference,answer_inference_similarity
0,Indonesia,What are some of the attractions that make Indonesia appealing to tourists?,"Indonesia is attractive to tourists because of its rich cultural diversity, with more than 900 tribes and languages, a variety of cuisines, enchanting natural landscapes (especially outside of Java), and the friendliness of the people.","Indonesia's unique blend of Hindu culture, legendary beaches, numerous religious and historical sites, spectacular highland regions, and unique underwater life make Bali a perennial favorite among global travelers, making it one of the most popular tourist destinations in Indonesia. Additionally, Indonesia has some of the best scuba diving spots in the world due to its location in the Coral Triangle, which is home to 5,000 species of fish and hosts 20% of the world's reefs. Other attractions include the Toraja culture and megalithic civilization found in Sulawesi (Celebes), as well as the diverse societies and stunning scenery found throughout the country's 18,000 inhabited islands. Beaches are also significant attractions, with options ranging from the well-known locations like Bali and Lombok to lesser-known gems found in Maluku, Nusa Tenggara, and Sulawesi. Finally, Indonesia's location within two wildlife regions, the Indomalayan and Australasian regions, provides opportunities to experience some of the largest remaining rainforests in the world. Overall, Indonesia's unique cultural heritage, natural beauty, and diverse offerings make it an appealing destination for tourists.",0.2093557864594639
1,Indonesia,What geographical features make Indonesia unique?,"Indonesia is a vast archipelago consisting of diverse islands scattered over both sides of the Equator between the Indian Ocean and the Pacific Ocean. It is known for its extensive (but rapidly diminishing) rainforests on its 18,000 islands and is nicknamed The Emerald of the Equator.","Indonesia's unique geographical features include being the world's largest archipelago with over 18,000 islands scattered across both the Indian Ocean and the Pacific Ocean, making it a country with extensive rainforests and diverse societies. Its location straddling both the Indomalayan and Australasian regions results in a wealth of flora and fauna, including some of the largest remaining rainforests and the Coral Triangle, which is home to 5,000 species of fish and hosts 20% of the world’s reefs. Additionally, Indonesia's blend of unique Hindu culture, legendary beaches, numerous religious and historical sites, and unique underwater life make it a perennial favorite among global travelers.",0.5265365694937701
2,Indonesia,How far is the distance between Aceh in the west and Papua in the east?,"The distance between Aceh and Papua is 4,702 km (2,500 mi), which is comparable to the distance between New York City and San Francisco.","According to the context provided, the distance between Aceh in the west and Papua in the east is 4,702 kilometers (2,500 miles). This information can be found in Document 0.",0.5447811376005572
3,Indonesia,Why do travelers often think of Bali as their primary destination in Indonesia?,"Travelers tend to have Bali at the top of their mind as their reason to visit due to its popularity, but it is a shame because there are even more breathtaking natural beauty and cultural experiences elsewhere in the country.","Travelers often think of Bali as their primary destination in Indonesia due to its popularity as a tourist attraction. According to Document 0, Bali receives by far the most number of tourists in Indonesia, making up more than 50% of foreign arrivals. This is likely attributed to Bali's unique blend of Hindu culture, legendary beaches, numerous religious and historical sites, spectacular highland regions, and unique underwater life, as mentioned in Document 0. Additionally, Document 3 highlights that Bali is one of Indonesia's biggest tourist draws with its nice beaches and good food, and it is located approximately 2.5 hours away by plane from other major Indonesian destinations like Jakarta and Singapore. Overall, Bali's combination of cultural richness, natural beauty, and convenient location make it a perennial favorite among global travelers.",0.35407093271819784
4,Indonesia,"What is Borobudur, and where is it located?","Borobudur is one of the largest Buddhist temples in the world, located in Central Java province. It is often visited alongside the impressive Hindu ruins at nearby Prambanan.","Borobudur is the world's largest Buddhist monument, dating back to the 8th century. It is located in Central Java, Indonesia, and is considered one of the most significant cultural heritage sites in the country. Nearby Prambanan, a remarkable Hindu monument dating from just a few years later, is also found in this region. Both Borobudur and Prambanam are popular tourist destinations and are often visited together.",0.5955980800614454
5,Indonesia,What is Bromo-Tengger-Semeru National Park known for?,Bromo-Tengger-Semeru National Park is known for some of the most dramatic volcanic scenery on the planet and is one of the best locations in the world to witness sunrise.,"Bromo-Tengger-Semeru National Park is known for its volcanic scenery, specifically some of the scariest volcanic scenery on the planet and one of the best locations in the world to see the sunrise. Both Mount Bromo and Mount Semeru, which can be found within the park, are active volcanoes, with Mount Semeru being the highest volcano in Java. The park also offers opportunities for trekking and exploring the lands of indigenous tribes like the Lani, Dani, and Yali in remote Papua (see Document 1).",0.7311284727489434
6,Indonesia,"Where is one of the best scuba diving destinations in Indonesia, if not the world?",Bunaken is one of the best scuba diving destinations in Indonesia and is highly regarded globally.,"The question asks for the location of one of the best scuba diving destinations in Indonesia, if not the world. Based on the provided context, the answer is Bunaken. Bunaken is mentioned as one of the best scuba diving destinations in Indonesia, if not the world, in both Document 0 and Document 1. Other notable diving spots in Indonesia include Wakatobi, Alor Archipelago, Raja Ampat in Papua, and Pulau Weh in the Indian Ocean, but Bunaken stands out as one of the top choices.",0.6669640554566953
7,Indonesia,What is Tana Toraja famous for?,"Tana Toraja, a highland area in Southern Sulawesi, is famous for its extraordinary funeral rites.","Tana Toraja, which is a region located in southern Sulawesi, is famous for its extraordinary funeral rites. (Source: Document 1)",0.8312273983541913
8,Brunei,What contributes to Brunei's wealth?,Brunei's wealth comes from its natural gas and petroleum resources.,"Answer: Brunei's wealth primarily comes from its abundant resources in the extractive industries, specifically oil and gas, as mentioned in Documents 0 and 2. The Sultan of Brunei, who is also the country's ruler, is one of the wealthiest individuals in the world due to these resources. Additionally, income from overseas investments supplements the country's revenue (Document 0). The government provides a comprehensive welfare state to its citizens without imposing income tax (Document 0).",0.516043432327878
9,Brunei,"What is the full name of Brunei, and what does ""Darussalam"" mean?","The full name of Brunei is Negara Brunei Darussalam, with ""Darussalam"" meaning ""Abode of Peace.","The full name of Brunei is Negara Brunei Darussalam. ""Darussalam"" translates to ""Abode of Peace"" in Arabic. This is a part of Brunei's official name, and it reflects the country's commitment to promoting peace and stability. In Bruneian culture, Darussalam represents a place where people can find solace, harmony, and prosperity. It is often used interchangeably with the term ""Brunei"" in official documents and communications.",0.7528251997509285
